Tipo,Designacion,Designación comercial,b,t,r,r1,b/t,Ag,Peso,ex-ey,w,v1,Ix-Iy,Sx-Sy,rx-ry,Iv,Sv,iv,Iz,iz,J,Cw
L,L 16x 16 x 3.2,L 5/8 x 5/8 x 1/8,15.9,3.20,4.00,2.00,5.00,0.94,0.74,0.50,1.13,0.71,0.20,0.18,0.46,0.080,0.12,0.30,0.31,0.57,0.031,0.005
L,L 19 x 19 x 3.2,L 3/4 x 3/4 x 1/8,19.0,3.20,4.00,2.00,5.90,1.13,0.89,0.58,1.34,0.82,0.35,0.26,0.55,0.14,0.18,0.36,0.55,0.70,0.038,0.010
L,L 22 x 22 x 3.2,L 7/8 x 7/8 x 1/8,22.2,3.20,4.00,2.00,6.90,1.32,1.04,0.65,1.56,0.92,0.56,0.36,0.65,0.23,0.25,0.42,0.89,0.82,0.045,0.016
L,L 25 x 25 x 3.2,L 1x 1 x 1/8,25.4,3.20,4.00,2.00,7.90,1.51,1.19,0.73,1.77,1.03,0.84,0.48,0.75,0.34,0.34,0.48,1.34,0.94,0.062,0.025
L,L 25 x 25 x 4.8,L 1x 1 x 3/16,25.4,4.80,4.00,2.00,5.30,2.19,1.72,0.79,1.77,1.11,1.17,0.68,0.73,0.50,0.45,0.48,1.84,0.92,0.17,0.075
L,L 25 x 25 x 6.4,L 1x 1 x 1/4,25.4,6.40,4.00,2.00,4.00,2.81,2.20,0.85,1.77,1.19,1.44,0.87,0.72,0.66,0.55,0.48,2.23,0.89,0.39,0.16
L,L 29 x 29 x 3.2,L 1 1/8 x 1 1/8 x 1/8,28.6,3.20,5.00,2.50,8.90,1.65,1.30,0.77,1.91,1.09,1.06,0.55,0.80,0.42,0.39,0.51,1.70,1.01,0.059,0.036
L,L 32 x 32 x 3.2,L 1 1/4 x 1 1/4 x 1/8,31.7,3.20,5.00,2.50,9.90,1.97,1.55,0.89,2.26,1.26,1.83,0.79,0.96,0.72,0.57,0.61,2.93,1.22,0.066,0.050
L,L 32 x 32 x 4.8,L 1 1/4 x 1 1/4 x 3/16,31.7,4.80,5.00,2.50,6.60,2.87,2.25,0.96,2.26,1.35,2.58,1.15,0.95,1.06,0.78,0.61,4.10,1.20,0.22,0.16
L,L 32 x 32 x 6.4,L 1 1/4 x 1 1/4 x 1/4,31.7,6.40,5.00,2.50,5.00,3.71,2.91,1.02,2.26,1.44,3.24,1.49,0.93,1.38,0.96,0.61,5.09,1.17,0.50,0.34
L,L 38 x 38 x 3.2,L 1 1/2 x 1 1/2 x 1/8,38.1,3.20,6.00,3.00,11.9,2.37,1.86,1.03,2.69,1.46,3.11,1.12,1.15,1.20,0.82,0.71,5.02,1.46,0.080,0.089
L,L 38 x 38 x 4.8,L 1 1/2 x 1 1/2 x 3/16,38.1,4.80,6.00,3.00,7.90,3.46,2.71,1.10,2.69,1.56,4.45,1.65,1.13,1.78,1.14,0.72,7.12,1.44,0.26,0.28
